Data Contents
"TIC, FULL_TOI_ID"
268143410,5536.01
56655478,5066.01
234388232,5088.01
172110606,5135.01
71854732,3658.01
1980725947,3625.01
340700241,2944.01
165667705,3248.01
348673213,1639.01
6404965,3346.01
129979528,1599.01
407658979,3575.01
350445771,258.01
154383539,1436.01
279177746,1353.01
237086564,1466.01
267694283,1656.01
454918388,3124.01
232982558,1439.01
374400599,1582.01
85242435,1722.01
85031598,1684.01
40466976,4494.01
139771134,1889.01
436102447,2359.01
123495874,2176.01
406941612,912.01
402053027,3002.01
259129875,1402.01
177079323,2353.01
168405330,2984.01
287145649,2981.01
26880783,1364.01
357972447,1357.01
261108236,1082.01
236887394,1465.01
4897275,1774.01
207425167,1812.01
277683130,138.01
193336820,4491.01
70440470,126.01
421894914,1056.01
47425697,364.01
9033144,367.01
183985250,193.01
230982885,195.01
2758565,287.01
166697854,300.01
402319411,317.01
156016136,371.01
293617835,1719.01
118586896,365.01
321982642,358.01
185482513,3375.01
41865539,335.01
180285396,292.01
70513361,262.01
77031414,241.01
271900960,389.01
348844154,916.01
420049884,462.01
434234955,944.01
427348923,484.01
403693875,528.01
378355116,2054.01
66356824,315.01
453211454,509.01
190496853,615.01
412961700,589.01
410094645,577.01
169226822,675.01
14165625,875.01
444394183,2962.01
44797824,865.01
220518305,156.01
200723869,257.01
405425498,2227.01
102195674,668.01
2041563029,1427.01
15247229,1188.01
267093376,2235.01
125442121,1414.01
315907220,3606.01
22186226,4385.01
432549364,1476.01
48188920,1159.01
260647166,1233.04
75878355,2134.01
310981412,1790.01
58461209,3118.01
154459165,611.01
369455629,2199.01
98662211,3112.01
140760434,1229.01
344600402,4423.01
47525799,225.01
274215536,1701.01
290308758,3582.01
450327768,1788.01
232139628,2794.01
281987399,2786.01
266500992,1655.01
119448220,2873.01
36381058,2995.01
136504576,2966.01
464067218,3059.01
162362398,760.01
463103749,3063.01
393911494,2106.01
14715294,3121.01
307210830,175.02
243297296,4100.01
158916431,2146.01
180652891,1857.01
410153553,136.01
21755546,1146.01
100504381,2231.01
284450803,1142.01
304695574,3324.01
302470965,3676.01
179582003,4507.01
389238529,2237.01
342167886,2891.01
89702406,4627.01
238171173,2186.01
274367763,3474.01
48768158,2993.01
336075472,4632.01
307958020,4633.01
70914192,427.01
13349647,567.01
17150865,4634.01
161477033,553.03
124454726,3105.01
17746821,492.01
455135327,490.01
358107516,2202.01
405763009,2433.01
272707711,4484.01
364431259,3445.01
231912935,215.01
372757221,1187.01
311130133,4318.01
302518439,1169.01
143526444,803.01
14614418,750.01
260043723,217.01
272086159,176.01
124543547,898.01
83210867,1185.01
358557578,2635.01
267561446,1284.01
237200747,1270.01
287190564,1309.01
294179389,1310.01
272635712,1349.01
121966220,1688.01
90919952,1118.01
183979262,183.01
167092385,1318.01
240613164,1377.01
470987100,1732.01
92013169,882.01
441798995,2269.02
292321872,1572.01
174041208,1740.01
186812530,503.01
186459119,3373.01
237221436,3970.01
237077180,3971.01
50618703,544.01
102672709,1686.01
240148934,1707.01
318746829,1540.01
166184426,1955.01
219751469,1489.01
198153540,1798.01
234345288,213.01
143410850,2229.01
159332859,2574.01
147425389,2312.01
25139786,2311.01
142784687,2575.01
234489133,2572.01
23650642,1700.01
317019074,2348.01
29959761,2340.01
297457992,3224.01
160003961,2335.01
168751223,2331.01
141663464,1962.01
331034236,1505.01
233066156,2252.01
165554103,2296.01
82452140,2289.01
236934268,2292.01
54002556,1847.02
34466256,2732.01
422656370,2030.01
38460940,805.01
54464870,2115.01
159742538,2124.01
401980624,4372.01
320798691,2130.01
76419763,2135.01
287256467,2141.01
100566492,2198.01
172193428,502.01
401604346,2193.01
274599700,2317.01
129637892,155.01
460984940,784.01
282576340,2494.01
469782185,1123.01
366989877,1054.01
351601843,1075.01
139198430,1891.01
77156829,696.02
19684256,1901.01
459978312,1487.01
376637093,1516.01
278348461,1257.01
219015370,1294.01
313675203,4367.01
302773669,1573.01
176957796,137.01
157266693,1929.01
269701147,1339.02
321857016,1420.01
235683377,1442.01
425220920,985.01
274151135,1105.01
272050287,6039.01
150030205,286.02
350743714,165.01
144440290,222.01
124778445,2503.01
146244533,3358.01
441642457,2073.01
245947683,950.01
455272393,3438.01
146664561,4272.01
302895996,531.01
200805484,2654.01
30499203,4294.01
281408474,628.01
283303192,2741.01
34729329,2731.01
409459226,973.01
265077027,961.01
33091633,984.01
143994283,1021.01
231937059,2862.01
74197917,4261.01
363635669,4275.01
101011575,560.01
360706000,3043.01
219401954,765.01
149745822,3413.01
305424003,907.01
405485201,3409.01
280726137,4284.01
342314656,4404.01
301160638,3487.01
257520272,4291.01
374908020,1029.01
327210623,3313.01
464646604,4399.01
150151262,712.04
263748033,4422.01
1234810324,4415.01
150151262,712.02
372443687,3273.01
260189643,4408.01
1405997635,4414.01
452049244,3070.01
240968774,1467.01
219164808,504.01
118956453,1925.01
332860211,2778.01
34077285,880.03
39218269,2366.01
287563610,840.01
81212289,3823.01
155873992,3814.01
176831592,463.01
302527524,2952.01
141482386,1024.01
45054849,3021.01
377165123,4167.01
228381868,351.01
198008005,858.01
399967279,2537.01
443666343,3500.01
452281203,3502.01
396720998,709.01
286865921,773.01
407966340,554.01
265460043,2272.01
63898957,261.01
280097543,375.01
232025086,874.01
325172035,1939.01
162620529,3100.01
54962195,663.01
272885406,3093.01
296739893,620.01
179317684,163.01
469184909,2953.01
391645374,3034.01
309791156,533.01
435934762,2772.01
400103802,4140.01
470169396,4024.01
400432230,3791.01
369861731,3306.01
86280613,1786.01
305048116,362.01
42054565,280.01
176778112,408.01
122612091,264.01
4616072,466.01
40779013,3512.01
73038411,978.01
294090620,587.01
343726435,3600.01
36440357,546.01
18017227,3890.01
98283926,1915.01
259506033,3705.01
158497525,3911.01
154181821,3897.01
178289267,1936.01
334493051,3949.01
29781292,282.03
2016376984,3920.01
316453500,3954.01
91555165,2345.01
128449971,1938.01
279769094,4047.01
400899926,4082.01
